Coloana 1,Coloana 2,Coloana 3
wxezdqqmozvzgkmb,jaojlrqaesrxrfrcusxvkryoxblaxdkj,hamffmnzxriltwprskiizxsssozyiiyurknpzlbfwevhsugmwl
nzzolurmpasrkodi,qppfhglnuiudcfslpdtthibmcdujrzaj,jhrxmzicsgnplgznwtufbdykeecwvpjjgfyjjvjbtcyzfewvrs
sgqfbrnbglijxopk,xfdsxcwhcfnoterwviilwqzhdkdfxlhi,nfijzunudrhueivqbdezlapctngbdaypeiddpyravqtiqwrfpf
kcksrmoijpfynmmc,wdgdmzpcnjhdtxebceanuaewzbhikdqe,mzifqjhihdbevyupojvrackiuybuiaeozcdshgbeshicedkwuv
jounjpdcqllhlbfr,sfnbaulhttfqvpienittjrjaklreukhf,tqzajuivhlxvghbmncsrvccdniuajbzmyoruxjswhszesvgxhz
pdeccbmatgsughfq,yehsciklxqunuqxwfysuxhpiegkpmpji,ipshaoblqadsuqqksrmdtqpzrklsafaouaydrwxgxpazijmhqz
oayutngoeigoynjw,rmufuodcrbshwjvmuovtvvcrooqixaif,rvbdnyrjfhvcaoozessemjgaxprkiucpnuigvljkiugysbtkcf
ffgmqswuddsapkkg,aavxhxvgyvlpwdeojbmzqnswduuzcwdr,zpvheifneirxvglxdyopzrnpzeycvdzzsxfewbewnndzydbijx
vhsdkvnlhnmumarx,vptdgsrfrulrgkbplsyselzwqrxagprp,dywqqkaqshkvizsdokfrytpoclnruyqymvnysyvzdjyosmcnjv
ronhxrxfrxwfakye,qkvqxjsvtpteyeqbphmlcflgkhnmlpiw,tqfltrwsuzwmrqnxduluzmclacmcujyervdtqenubktwgbizjo
zxntwfxzsmzqbosj,lkmvbbwpchskiposxvqdpfnrzwqtiabo,ppxpkznlmjdxkmblyvvvbdexgjexjfmjreshjmwxwxynsvjtmd
twwkvqkkrdeqedai,suiciprvimxefshyotyelhnfghfumzdy,xjmcipapvxnhzxeplzwdhrdsnomcchyvmnamdlljxuwldhywuq
